start	end	text
0	9920	testing testing. Okay. All right. Hello, everyone. Thank you for coming to the final
9920	17280	recitation session of the semester. I'm Matt. I'm one of the CAs for the course course.
17280	24000	And today we'll be talking about some practice problems for the final section of the course.
24000	31680	So just first off, so you're aware. See, we're recording this for posting on Piazz later
31680	38080	just so you know. So yeah, just recording notice. And overall, the point of today's session will
38080	44720	be to go over some of the sample problems that were handed out or suggested by the professors
44720	51440	in various sections throughout the various course lectures. So as a reminder, the final exam
51440	56320	will focus on the material from section three. So it's not a overall comprehensive exam. It's
56320	61440	just focused on final section of the course section three. The problems that we'll talk about
61440	68000	today are all from the Russell and Norbig textbook. And they all come from the aimacode.github.io website
68000	73600	that's been I think shared a couple times throughout the course. So overall, let's begin.
74400	81120	We'll start with an easy problem as a warm up. The first question, this is 13.1. It says,
81200	86640	show from first principles that the probability of A given B intersect A equals one.
87360	92000	So does anyone have any ideas on how you would approach solving this?
97840	102720	Okay. That's a definition of conditional probability. Yes, that's a great way to start.
102720	109920	So to start using the definition of the conditional probability, probability of A given B intersect A
109920	118240	would be probability of A intersect B intersect A divided by probability of B intersect A.
118960	125440	And so this should be the part where it's very clear. What would this expression reduce to
126080	134320	this one right here? Well, if you take A intersect B intersect A, this has already been intersected
134320	140480	with A. So intersecting a second time will really do anything. So the result of that would still be
141120	147600	equivalent to B intersect A. And so then if you just have probability of B intersect A over
147600	153840	probability B intersect A, the answer will always be one, no matter what. Which of course intuitively
153840	161040	makes sense. I mean, if you're conditioning on B intersect A, it means that it's a given that A
161040	168400	is true. So the probability that A is true given that A is true should be one always. Okay,
168400	173920	but that's just a warm up problem. Let's do some more counting oriented problems. So this is a
174800	181200	a problem about poker. So it says consider the set of all possible five card poker hands dealt
181200	187440	fairly from a standard deck of 52 cards. So when it says it's dealt fairly, that means all cards are
187440	191360	perfectly shuffled. They're shuffled randomly. Yes. Yes.
195600	198800	Oh, let's see. There's not really a whiteboard in here.
203120	207520	Yeah, I mean, you could. I think I think they're writing it would be easier, but it's just a way
207520	213520	to represent the idea. Yeah. Like you're saying, if you had A intersect B and you intersected it
213600	218400	with A, it would be the same because you'd already be in A. But yeah, I see what you're saying.
219360	226880	Yeah. Okay. So five card poker hands. How many atomic events are there in the joint
226880	234720	probability distribution? How many five card hands are there? So if you recall combinatorics,
234720	238800	counting any, any ideas, what the, yes, what?
243920	250000	Lose, but when you have a poker hand, the ordering that you draw the cards and doesn't really matter
251280	258480	or not times five factorial, but divided by five factorial, right? So it would be 52,
258480	265040	choose five, which is exactly what you said, 52 times 51 times 50 times 49 times 48,
265040	272560	divided by five factorial. Because intuitively, you start by having five choices and you choose
272560	278800	your five cards, first having 52 choices, then 51 and 50, then 49 and 48. But then because the
278800	282480	ordering that you draw them, it doesn't really matter. IE, your hand is equivalent,
282480	286880	regardless of the order you draw them. That's why you would need to divide by five factorial,
286880	292240	because that's the number of equivalent ways to draw the same hand. Now the second question,
293040	298000	what is the probability of each atomic event of each hand? Well, it's pretty easy. It's just one
298000	307040	divided by that number we just computed. So it's one over 2,598,960. Okay. So that's fairly simple.
307840	313200	Next question, what is the probability of being dealt a royal straight flush? Well, again,
313200	318560	this is a counting problem. So how many royal straight flushes exist? There's only four,
318560	324400	one for each of the four suits. So you would have four over 2 million that number.
325840	330800	And then the final question is how many ways can you get what's the probability of getting four of a
330800	338560	kind? And so this one's a bit trickier to count. So there are 13 numbers or 13 types of cards from
338560	345040	Ace to King. And so there would be 13 types of four of a kind that you could get. And then after
345040	349680	you've drawn your four of a kind, you would still have one more card in your hand to draw. And there
349680	357680	would be 48 possible options for the last card in your hand. So then you would have 13 types of
357680	366800	four of a kind times 48. And that would give you, if you reduce it, one over 4,165 possible ways to
366800	374240	do four of a kind. So yeah, these are all counting problems, you know, probability, a lot of the
374240	379840	time boils down to counting the number of possible ways to do a thing and counting the number of
380720	389120	overall options in the universe. So yeah, okay. Now, how about a question about coin flips? This
389120	396800	is number 13.17. It says, suppose you are given a coin that lands heads with probability x and
396800	403440	tails with probability 1 minus x. So it's not necessarily a balanced coin. It might be a biased
403440	409200	coin that might be weighted one way or the other towards a certain side. And it says, are the outcomes
409200	414800	of successive flips of the coin independent of each other given that you know the value of x?
415440	419520	And then are the outcomes independent if you do not know the value of x?
420560	426160	So what are people's thoughts on the first question? If you know the value of x would all of the
